metric_id,pillar,category,metric_name,unit,value_2023,value_2024,target_2024,status,data_source,confidence
E01,Environmental,Climate,Carbon Intensity,tCO2e/M revenue,12.5,10.8,11.0,Met,Calculated,0.92
E02,Environmental,Climate,Total GHG Emissions,tCO2e,45200,38500,40000,Met,Direct measurement,0.94
E03,Environmental,Climate,Renewable Energy Share,%,32,45,40,Met,Utility records,0.96
E04,Environmental,Water,Water Consumption,kiloliters,85000,78500,80000,Met,Meter readings,0.95
E05,Environmental,Water,Water Recycling Rate,%,42,52,50,Met,Treatment plant,0.90
E06,Environmental,Waste,Waste Generated,metric tons,1250,1080,1100,Met,Waste records,0.93
E07,Environmental,Waste,Waste Recycling Rate,%,65,72,70,Met,Recycler certs,0.88
E08,Environmental,Waste,Hazardous Waste,%,8.5,7.2,8.0,Met,Manifests,0.91
E09,Environmental,Biodiversity,Land Use Impact,hectares,12.5,12.5,12.0,Not Met,Survey,0.70
E10,Environmental,Energy,Energy Consumption,MWh,42000,38200,39000,Met,Utility bills,0.96
S01,Social,Workforce,Total Employees,count,4850,5200,5000,Met,HR system,0.99
S02,Social,Workforce,Employee Turnover,%,18.5,15.2,16.0,Met,HR system,0.98
S03,Social,Diversity,Women in Workforce,%,34,38,36,Met,HR system,0.99
S04,Social,Diversity,Women in Leadership,%,22,28,25,Met,HR system,0.99
S05,Social,Diversity,Pay Equity Ratio,ratio,0.88,0.92,0.90,Met,Payroll,0.95
S06,Social,Health & Safety,LTIFR,per million hours,1.2,0.8,1.0,Met,Safety records,0.94
S07,Social,Health & Safety,Safety Training Hours,hours/employee,24,32,28,Met,Training system,0.96
S08,Social,Community,CSR Spending,INR lakhs,850,1020,950,Met,Finance system,0.97
S09,Social,Community,Beneficiaries Reached,count,25000,32000,28000,Met,Program records,0.85
S10,Social,Human Rights,Human Rights Training,%,78,88,85,Met,LMS system,0.92
S11,Social,Labor,Collective Bargaining,%,45,45,50,Not Met,HR records,0.90
S12,Social,Supply Chain,Supplier Social Audits,count,85,120,100,Met,Audit reports,0.88
G01,Governance,Board,Board Independence,%,60,67,65,Met,Board records,0.99
G02,Governance,Board,Board Diversity (Gender),%,25,33,30,Met,Board records,0.99
G03,Governance,Board,Board Meetings,count,6,8,6,Met,Minutes,0.99
G04,Governance,Ethics,Anti-Corruption Training,%,82,91,90,Met,LMS system,0.95
G05,Governance,Ethics,Whistle-blower Cases,count,3,5,,Reported,Ethics portal,0.98
G06,Governance,Risk,ESG Committee Meetings,count,4,6,4,Met,Minutes,0.99
G07,Governance,Data,Data Privacy Incidents,count,2,0,0,Met,IT security,0.97
G08,Governance,Transparency,ESG Report Published,boolean,1,1,1,Met,Public record,1.00
